SampleID,SwabID,Sample_Date,Location,Lat,Lon,Species,Sp_Abv,TTX_nmol_mg,TTX_mg,mass_g,svl_mm,sex,breeding_condition,DateDNAExtracted,zoospore_estimates,Log_bd,infected,ReadCount,observed_features,faith_pd,shannon_entropy,pielou_evenness,ExpShannon,antifungal_ASVs,antifungal_reads,Propor_TotalAntiFungal,TTX_Richness,TotalTTX,Propor_TotalTTX,TTX_Real,TTX_RelativeAbundance,Notes
GRP-13,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,4.055,11,79.3,M,,,0,0,0,6185,89,8.67712517075699,5.03472945288304,0.777476328597375,NA,51,3445,0.556992724333064,1,8,0.00363636363636364,High,0.0296901094822787,NA
GRP-14,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,5.591,16,82.2,M,,,1100,3.04178731897175,1,3820,52,5.86607073716027,4.48061030892942,0.786011348329905,NA,35,1793,0.469371727748691,1,9,0.00409090909090909,High,0.172811059907834,NA
GRP-15,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,5.289,15,76,M,,,636,2.80413943233535,1,14766,65,6.39133960525385,3.64950396025574,0.60599154245621,NA,31,7540,0.51063253420019,2,7,0.00318181818181818,High,0.204022150976392,NA
GRP-16,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,3.698,12,72.9,M,,,4500,3.65330901293848,1,5377,42,5.4292999340563,3.18863274631747,0.591328828834841,NA,25,1788,0.332527431653338,1,4,0.00181818181818182,High,0.0422520333791064,Short tail (regrowing)
GRP-17,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,5.271,19,82.9,M,,,3190,3.50392680419351,1,5456,39,4.18041869562103,3.62517278277406,0.685883993811625,NA,31,3171,0.581195014662757,1,1,0.000454545454545455,High,0.00701902154839615,Short tail (regrowing)
GRP-18,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,4.117,14,76.9,M,,,0,0,0,3671,51,5.21226448076106,4.31022407305525,0.7598555843764,NA,33,2548,0.694088804140561,1,22,0.01,High,0.368879946344735,NA
GRP-19,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,6.718,22,87.3,M,,,0,0,0,5091,33,4.10952058103953,2.8597536701905,0.566917176280073,NA,24,4830,0.948733058338244,1,1,0.000454545454545455,High,0.026638252530634,NA
GRP-20,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,4.064,12,72.1,F,,,0,0,0,8235,40,5.41393848951111,2.27044241140876,0.426620272000652,NA,29,1255,0.152398299939284,1,30,0.0136363636363636,High,0.304043782304652,NA
GRP-21,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,6.555,20,84,M,,,0,0,0,10746,35,3.95928022352382,2.35183945482917,0.458512319764711,NA,29,12573,1.17001675041876,2,11,0.005,High,0.22,NA
GRP-22,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,5.878,17,81.7,M,,,2000,3.30124708863621,1,4609,47,4.18216939693843,4.14987187245751,0.747106938653818,NA,34,3992,0.866131481883272,0,0,0,High,0,NA
GRP-23,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,5.303,17,87,F,,,813,2.9106244048892,1,5609,96,8.91896689760517,5.33306328040311,0.809885140548493,NA,40,1512,0.269566767694776,1,2,0.000909090909090909,High,0.0374812593703148,NA
